start_lat.x,start_lon.x,end_lat.x,end_lon.x,key,geometry
30.72,-90.5,30.72,-90.5,20011,numeric(0)
34.95,-92,35.03,-91.92,200110,c(-92
37.57,-98.63,37.57,-98.48,2001100,c(-98.63
41.47,-90.8,41.55,-90.73,20011000,c(-90.8
37.97,-99.22,37.97,-99.22,20011001,numeric(0)
37.97,-99.07,37.97,-99.07,20011002,numeric(0)
38.25,-99.9,38.25,-99.82,20011003,c(-99.9
38.43,-99.45,38.5,-99.3,20011004,c(-99.45
38.22,-99.43,38.22,-99.43,20011005,numeric(0)
38.18,-99.63,38.25,-99.52,20011006,c(-99.63
38.22,-99.85,38.22,-99.83,20011007,c(-99.85
38.18,-99.62,38.18,-99.62,20011008,numeric(0)
45.08,-83.57,45.08,-83.57,20011009,numeric(0)
42.32,-96.68,42.32,-96.67,2001101,c(-96.68
44.07,-84.48,44.05,-84.4,20011010,c(-84.48
41.85,-99.05,41.85,-99.05,20011011,numeric(0)
42,-99.25,41.93,-99.17,20011012,c(-99.25
42.15,-98.75,42.13,-98.67,20011013,c(-98.75
41.97,-99.27,41.97,-99.27,20011014,numeric(0)
43.72,-88.88,43.72,-88.88,20011015,numeric(0)
43.35,-88.47,43.3,-88.37,20011016,c(-88.47
43.62,-88.9,43.57,-88.82,20011017,c(-88.9
33.27,-91.32,33.28,-91.32,20011018,c(-91.32
38.88,-98.87,38.88,-98.87,20011019,numeric(0)
42.23,-96.17,42.23,-96.12,2001102,c(-96.17
39,-98.62,39,-98.62,20011020,numeric(0)
39.02,-98.42,39.02,-98.42,20011021,numeric(0)
39.02,-98.42,39.02,-98.42,20011022,numeric(0)
38.9,-98.38,38.9,-98.38,20011023,numeric(0)
39.73,-88.65,39.72,-88.63,20011024,c(-88.65
39.57,-88.6,39.57,-88.6,20011025,numeric(0)
39.52,-88.72,39.52,-88.72,20011026,numeric(0)
40.88,-72.5,40.88,-72.5,20011027,numeric(0)
40.88,-72.47,40.88,-72.47,20011028,numeric(0)
46.55,-104.28,46.55,-104.28,20011029,numeric(0)
40.47,-94.67,40.52,-94.68,2001103,c(-94.67
46.45,-104.17,46.45,-104.17,20011030,numeric(0)
46.15,-68.68,46.1,-68.07,20011031,c(-68.68
32.82,-93.32,33,-93.08,20011032,c(-93.32
33.78,-78.77,33.78,-78.77,20011033,numeric(0)
33.7,-78.88,33.7,-78.88,20011034,numeric(0)
47.87,-94.97,47.87,-94.97,20011035,numeric(0)
47.98,-94.68,47.98,-94.68,20011036,numeric(0)
47.75,-94.48,47.75,-94.48,20011037,numeric(0)
47.83,-94.52,47.83,-94.52,20011038,numeric(0)
47.78,-94.43,47.78,-94.42,20011039,c(-94.43
36.35,-100.87,36.4,-100.75,2001104,c(-100.87
48.93,-97.25,48.93,-97.25,20011040,numeric(0)
47.73,-98.17,47.73,-98.17,20011041,numeric(0)
47.68,-98.35,47.68,-98.35,20011042,numeric(0)
47.58,-98.38,47.58,-98.38,20011043,numeric(0)
47.67,-98.48,47.65,-98.47,20011044,c(-98.48
47.73,-97.98,47.73,-97.98,20011045,numeric(0)
47.63,-98.35,47.63,-98.35,20011046,numeric(0)
47.78,-98.43,47.78,-98.43,20011047,numeric(0)
47.87,-98.43,47.87,-98.43,20011048,numeric(0)
